City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Fairbanks,US,2021-01-17 01:19:08,64.8378,-147.7164,14.0,84,1,3.62
112,Cap Malheureux,MU,2021-01-17 01:20:32,-19.9842,57.6142,80.01,82,86,5.01
113,Atuona,PF,2021-01-17 01:18:42,-9.8,-139.0333,77.59,76,2,14.14
114,Lagoa,PT,2021-01-17 01:19:09,39.05,-27.9833,61.38,95,100,14.45
115,Talas,TR,2021-01-17 01:20:32,38.6908,35.5538,37.4,81,75,4.61
116,Oron,NG,2021-01-17 01:20:32,4.8256,8.2343,78.53,86,99,2.82
117,Shimoda,JP,2021-01-17 01:17:00,34.6667,138.95,50.0,62,75,9.22
118,Upernavik,GL,2021-01-17 01:18:50,72.7868,-56.1549,10.53,82,0,7.87
119,Cape Coast,GH,2021-01-17 01:20:32,5.1053,-1.2466,78.91,85,87,7.45
120,East London,ZA,2021-01-17 01:18:42,-33.0153,27.9116,69.26,69,19,18.52
121,Port Macquarie,AU,2021-01-17 01:15:44,-31.4333,152.9167,84.0,31,22,1.99
122,Igarka,RU,2021-01-17 01:20:32,67.4667,86.5833,-18.62,81,100,9.46
123,Tautira,PF,2021-01-17 01:18:58,-17.7333,-149.15,87.8,58,40,3.44
124,Kyren,RU,2021-01-17 01:18:54,51.6828,102.1408,0.86,81,91,1.36
125,Chernyshevskiy,RU,2021-01-17 01:20:32,63.0128,112.4714,-42.02,82,100,3.65
126,Mattru,SL,2021-01-17 01:20:32,7.6244,-11.8332,74.52,92,100,1.32
127,Ambon,ID,2021-01-17 01:20:32,-3.6954,128.1814,80.6,83,40,3.44
128,Beyneu,KZ,2021-01-17 01:18:54,45.3167,55.2,30.24,93,99,12.86
129,Wana,PK,2021-01-17 01:20:33,32.2989,69.5725,44.02,45,0,0.87
130,Zhigansk,RU,2021-01-17 01:19:06,66.7697,123.3711,-35.05,82,100,6.11
131,Port Hardy,CA,2021-01-17 01:19:08,50.6996,-127.4199,44.6,87,90,17.27
132,Leningradskiy,RU,2021-01-17 01:19:06,69.3833,178.4167,-21.53,86,99,2.39
133,New Norfolk,AU,2021-01-17 01:18:45,-42.7826,147.0587,61.0,61,100,5.99
134,Hay River,CA,2021-01-17 01:17:45,60.8156,-115.7999,5.0,78,95,1.14
135,Hirara,JP,2021-01-17 01:19:12,24.8,125.2833,60.8,77,75,19.57
136,Channagiri,IN,2021-01-17 01:20:33,14.0333,75.9333,68.54,76,0,5.79
137,Payyannur,IN,2021-01-17 01:20:33,12.1,75.2,75.07,86,0,2.86
138,Quelimane,MZ,2021-01-17 01:20:33,-17.8786,36.8883,77.52,85,1,3.71
139,Kavaratti,IN,2021-01-17 01:19:12,10.5669,72.642,81.41,76,0,6.53
140,Mareeba,AU,2021-01-17 01:19:01,-17.0,145.4333,84.2,74,90,10.36
141,Labuhan,ID,2021-01-17 01:19:10,-6.8844,112.2051,81.0,79,100,6.31
142,Solnechnyy,RU,2021-01-17 01:20:33,50.7214,136.6319,-10.59,86,100,2.91
143,Havelock,US,2021-01-17 01:16:07,34.8791,-76.9013,43.0,87,1,6.91
144,Banes,CU,2021-01-17 01:20:33,20.9625,-75.7186,77.0,69,20,4.61
145,Masindi,UG,2021-01-17 01:20:33,1.6744,31.715,68.18,70,51,3.8
146,Cape Town,ZA,2021-01-17 01:18:02,-33.9258,18.4232,64.0,88,0,6.91
147,Qandala,SO,2021-01-17 01:20:33,11.472,49.8728,73.81,63,0,0.76
148,Yulara,AU,2021-01-17 01:18:44,-25.2406,130.9889,78.8,25,1,18.41
149,Saint-Georges,GD,2021-01-17 01:19:07,12.0564,-61.7485,75.2,94,20,6.91
150,Joensuu,FI,2021-01-17 01:18:53,62.6012,29.7632,10.4,85,90,4.61
151,Half Moon Bay,US,2021-01-17 01:15:59,37.4636,-122.4286,64.99,100,75,10.07
152,Ilulissat,GL,2021-01-17 01:18:45,69.2167,-51.1,15.8,45,4,4.61
153,Severo-Kurilsk,RU,2021-01-17 01:18:43,50.6789,156.125,33.93,94,100,11.36
154,Ormara,PK,2021-01-17 01:18:51,25.2088,64.6357,67.46,57,0,8.34
155,Bijawar,IN,2021-01-17 01:20:33,24.6333,79.5,52.11,44,0,4.97
156,Hilo,US,2021-01-17 01:17:08,19.7297,-155.09,80.6,54,20,11.5
157,Clyde River,CA,2021-01-17 01:18:46,70.4692,-68.5914,3.2,85,90,25.32
158,Karratha,AU,2021-01-17 01:18:54,-20.7377,116.8463,95.74,35,84,13.6
159,Black River,JM,2021-01-17 01:20:33,18.0264,-77.8487,78.8,78,40,5.75
160,Olafsvik,IS,2021-01-17 01:18:41,64.8945,-23.7142,36.41,95,100,17.0
161,Jangaon,IN,2021-01-17 01:20:33,17.7167,79.1833,63.59,83,0,2.3
162,Maumere,ID,2021-01-17 01:20:33,-8.6199,122.2111,82.38,75,98,3.53
163,Andenes,NO,2021-01-17 01:20:33,69.3143,16.1194,33.8,93,40,9.22
164,Cayenne,GF,2021-01-17 01:19:03,4.9333,-52.3333,78.8,89,75,4.61
165,Birjand,IR,2021-01-17 01:20:34,32.8663,59.2211,30.2,29,0,6.91
166,Haines Junction,CA,2021-01-17 01:20:34,60.7522,-137.5108,23.0,93,100,1.14
167,Mucurapo,TT,2021-01-17 01:20:34,10.6667,-61.5333,78.01,83,20,3.44
168,Cavalcante,BR,2021-01-17 01:20:34,-13.7975,-47.4583,68.85,86,99,2.15
169,Honningsvag,NO,2021-01-17 01:20:34,70.9821,25.9704,37.22,79,99,15.93
170,Nikolskoye,RU,2021-01-17 01:18:45,59.7035,30.7861,12.2,85,90,8.95
171,Huarmey,PE,2021-01-17 01:19:01,-10.0681,-78.1522,71.4,81,100,5.57
172,Kamloops,CA,2021-01-17 01:18:11,50.6665,-120.3192,32.0,80,90,2.3
173,Hasaki,JP,2021-01-17 01:19:11,35.7333,140.8333,42.8,52,75,10.36
174,Rtishchevo,RU,2021-01-17 01:20:34,52.2604,43.7874,-0.2,94,100,11.65
175,Taoudenni,ML,2021-01-17 01:20:34,22.6783,-3.9836,57.2,31,100,14.52
176,Burns Lake,CA,2021-01-17 01:20:34,54.2331,-125.7533,33.8,93,88,1.14
177,Bhag,PK,2021-01-17 01:20:34,29.0415,67.8239,54.93,32,0,0.98
178,The Valley,AI,2021-01-17 01:20:34,18.217,-63.0578,78.01,78,20,5.75
179,Miramar,US,2021-01-17 01:20:34,25.9873,-80.2323,64.4,63,1,5.75
180,Bose,IT,2021-01-17 01:20:34,45.4612,8.0137,30.99,89,70,0.45
181,Kralendijk,BQ,2021-01-17 01:20:34,12.15,-68.2667,77.0,88,40,6.91
182,Narayangarh,IN,2021-01-17 01:20:34,30.4833,77.1333,47.32,67,0,4.5
183,Kumluca,TR,2021-01-17 01:20:35,36.3703,30.2869,53.89,58,69,12.55
184,Dali,CN,2021-01-17 01:20:35,25.7,100.1833,46.2,72,24,3.24
185,Xingyi,CN,2021-01-17 01:20:35,24.1877,102.817,32.63,96,96,8.93
