City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
168,Alamogordo,US,32.8995,-105.9603,62.6,8,1,6.91,clear sky
169,Samarai,PG,-10.6167,150.6667,83.66,78,19,14.99,moderate rain
170,Caravelas,BR,-17.7125,-39.2481,78.01,77,1,8.63,clear sky
171,Santa Rosa,PH,14.3122,121.1114,77.0,78,90,3.44,overcast clouds
172,Lorena,BR,-22.7308,-45.1247,86.0,54,40,4.61,scattered clouds
173,Xuddur,SO,4.1213,43.8894,76.51,31,55,10.92,broken clouds
174,Bethel,US,41.3712,-73.414,41.0,52,90,8.05,overcast clouds
175,Manokwari,ID,-0.8667,134.0833,79.7,73,100,3.27,light rain
176,Zeya,RU,53.75,127.2667,-18.54,82,100,4.72,overcast clouds
177,Pondicherry,IN,11.93,79.83,72.3,79,2,7.7,clear sky
178,Dikson,RU,73.5069,80.5464,-24.59,84,67,20.0,broken clouds
179,Den Helder,NL,52.9599,4.7593,43.0,81,20,9.22,light rain
180,Beyneu,KZ,45.3167,55.2,33.66,91,54,14.92,broken clouds
181,Puerto Ayacucho,VE,5.6639,-67.6236,87.53,57,80,9.62,broken clouds
182,Loreto,MX,22.2667,-101.9667,68.25,21,0,6.44,clear sky
183,Imbituba,BR,-28.24,-48.6703,78.8,89,75,5.75,moderate rain
184,Geraldton,AU,-28.7667,114.6,78.8,57,99,2.48,overcast clouds
185,Chokurdakh,RU,70.6333,147.9167,-24.92,86,100,7.45,overcast clouds
186,Bacolod,PH,10.6667,122.95,76.32,79,100,7.87,overcast clouds
187,Klamath Falls,US,42.2249,-121.7817,45.0,100,90,3.89,overcast clouds
188,Bluff,NZ,-46.6,168.3333,54.55,62,65,18.43,broken clouds
189,Ust-Kuyga,RU,70.0167,135.6,-36.9,80,100,4.41,overcast clouds
190,Abu Zabad,SD,12.35,29.25,68.36,21,2,11.45,clear sky
191,Sobolevo,RU,54.4299,31.8996,-8.7,91,72,5.32,broken clouds
192,Yantal,RU,56.8471,105.2542,-17.93,85,100,4.81,overcast clouds
193,Jasper,US,37.2001,-94.3502,48.99,43,40,16.11,scattered clouds
194,Havelock,US,34.8791,-76.9013,48.2,46,40,11.5,scattered clouds
195,Grand-Santi,GF,4.25,-54.3833,74.37,96,100,2.62,overcast clouds
196,Severnoye,RU,56.3491,78.3619,17.51,96,100,16.35,overcast clouds
197,Zabaykalsk,RU,49.6333,117.3167,-22.36,81,0,7.99,clear sky
198,Gavle,SE,60.6745,17.1417,25.0,86,82,4.0,broken clouds
199,Xunchang,CN,28.4543,104.715,39.6,76,41,1.54,scattered clouds
200,Papar,MY,5.7333,115.9333,71.6,94,40,8.05,light rain
201,Luderitz,NA,-26.6481,15.1594,65.39,76,23,13.71,few clouds
202,Mehamn,NO,71.0357,27.8492,37.4,81,75,11.5,broken clouds
203,Djibo,BF,14.1022,-1.6306,76.14,18,92,8.75,overcast clouds
204,Batemans Bay,AU,-35.7167,150.1833,64.0,78,0,1.01,clear sky
205,Darhan,MN,49.4867,105.9228,0.63,85,63,1.43,broken clouds
206,Ribeira Grande,PT,38.5167,-28.7,62.6,94,75,19.57,light rain
207,Constitucion,CL,-35.3333,-72.4167,69.24,52,0,18.99,clear sky
208,Buala,SB,-8.145,159.5921,82.09,80,58,9.24,light rain
209,Grindavik,IS,63.8424,-22.4338,33.8,93,90,16.11,overcast clouds
210,Kavaratti,IN,10.5669,72.642,81.57,75,0,4.81,clear sky
211,Vila Velha,BR,-20.3297,-40.2925,80.6,74,20,16.11,few clouds
212,Alugan,PH,12.2188,125.4808,78.78,86,100,14.97,light rain
213,Saint-Pierre,RE,-21.3393,55.4781,78.8,73,0,5.75,clear sky
214,Yambio,SS,4.5721,28.3955,73.96,27,4,2.04,clear sky
215,Clyde River,CA,70.4692,-68.5914,6.8,92,90,25.32,snow
216,Sitka,US,57.0531,-135.33,42.8,81,90,9.22,light rain
217,Severo-Kurilsk,RU,50.6789,156.125,20.55,91,87,38.12,overcast clouds
218,Norman Wells,CA,65.282,-126.8329,-11.2,84,75,3.44,broken clouds
219,Laguna,US,38.421,-121.4238,68.0,48,1,2.98,clear sky
220,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,84,90,8.05,light snow
221,Lavrentiya,RU,65.5833,-171.0,-10.23,82,100,10.47,overcast clouds
222,Ust-Kulom,RU,61.6864,53.6902,-8.41,90,94,4.56,overcast clouds
223,Acarau,BR,-2.8856,-40.12,80.8,76,97,15.88,light rain
224,Arcachon,FR,44.5875,-1.0519,35.6,100,0,2.3,clear sky
225,Verkhniy Fiagdon,RU,42.8333,44.3053,32.0,100,86,8.95,light snow
226,Georgetown,MY,5.4112,100.3354,79.0,61,20,14.97,few clouds
227,Nantucket,US,41.2835,-70.0995,42.8,52,1,21.85,clear sky
228,Ilanskiy,RU,56.2358,96.065,17.02,95,100,16.28,overcast clouds
229,College,US,64.8569,-147.8028,7.0,85,75,2.08,broken clouds
230,Moundou,TD,8.5667,16.0833,75.49,20,60,3.76,broken clouds
231,Malanje,AO,-9.5402,16.341,63.75,84,97,2.93,overcast clouds
232,Tatawin,TN,32.9297,10.4518,48.2,43,0,8.05,clear sky
233,Orbetello,IT,42.4408,11.2196,39.2,75,40,6.91,scattered clouds
234,Panalingaan,PH,8.7842,117.4231,76.68,90,100,7.4,moderate rain
235,Esperance,AU,-33.8667,121.9,55.4,88,0,8.05,clear sky
236,Vila,PT,42.0304,-8.1588,44.01,81,15,3.0,few clouds
237,Nordborg,DK,55.0573,9.7408,32.0,80,90,5.75,light rain
238,Gornopravdinsk,RU,60.05,69.9,-9.71,90,99,7.11,overcast clouds
239,Kahului,US,20.8947,-156.47,82.4,57,40,14.97,scattered clouds
240,Marabba,SD,12.35,32.1833,76.24,19,35,12.71,scattered clouds
241,Oyem,GA,1.5995,11.5793,69.98,94,96,2.53,overcast clouds
242,Lima,PE,-12.0432,-77.0282,73.99,68,0,19.57,clear sky
243,Oyama,JP,36.3,139.8,39.0,74,75,6.91,broken clouds
244,Garowe,SO,8.4054,48.4845,70.16,50,20,7.61,few clouds
245,Souillac,MU,-20.5167,57.5167,78.8,78,40,10.36,scattered clouds
246,Tucuman,AR,-26.8241,-65.2226,82.4,42,20,6.91,few clouds
247,Klaksvik,FO,62.2266,-6.589,37.4,81,40,10.36,scattered clouds
248,Labuhan,ID,-6.8844,112.2051,77.0,85,100,8.95,overcast clouds
249,Comodoro Rivadavia,AR,-45.8667,-67.5,75.2,43,0,13.8,clear sky
250,Saint George,US,37.1041,-113.5841,57.99,26,1,8.05,clear sky
251,Cervo,ES,43.6702,-7.4101,52.0,92,69,5.1,broken clouds
252,Port Hedland,AU,-20.3167,118.5667,86.0,62,6,8.05,clear sky
253,Malumfashi,NG,11.7853,7.6218,70.61,20,12,10.07,few clouds
254,Zelenoborsk,RU,61.4669,64.0333,-11.49,89,100,6.29,overcast clouds
255,Bubaque,GW,11.2833,-15.8333,78.6,61,93,10.22,overcast clouds
256,Panuco,MX,22.05,-98.1667,69.8,78,90,5.75,overcast clouds
257,Cap Malheureux,MU,-19.9842,57.6142,80.01,77,97,5.99,overcast clouds
258,Kitaibaraki,JP,36.7833,140.75,28.99,61,0,8.75,clear sky
259,Hamilton,US,39.1834,-84.5333,36.0,86,90,10.36,light snow
260,Steamboat Springs,US,40.485,-106.8317,35.01,59,90,6.91,overcast clouds
261,Porto Velho,BR,-8.7619,-63.9039,82.4,78,20,5.75,few clouds
262,Port Lincoln,AU,-34.7333,135.8667,59.29,78,100,11.36,overcast clouds
263,Ostrovnoy,RU,68.0531,39.5131,17.82,94,99,12.62,overcast clouds
264,Akcaabat,TR,41.0212,39.5715,44.6,76,75,13.8,light rain
265,Quirinopolis,BR,-18.4483,-50.4517,76.98,87,99,4.03,moderate rain
266,Owando,CG,-0.4819,15.8999,72.3,85,100,2.55,overcast clouds
267,Kotido,UG,2.9806,34.1331,77.05,40,83,10.07,broken clouds
268,Yingcheng,CN,30.95,113.55,32.0,69,0,4.47,clear sky
269,Valparaiso,CL,-33.0393,-71.6273,80.6,34,0,8.05,clear sky
270,Dutse,NG,11.7594,9.3392,69.69,22,0,7.9,clear sky
271,Port Keats,AU,-14.25,129.55,79.56,80,100,6.31,overcast clouds
272,Gat,IL,31.61,34.7642,54.0,100,92,1.99,moderate rain
273,Vila Franca Do Campo,PT,37.7167,-25.4333,61.0,88,75,18.41,broken clouds
274,Alekseyevsk,RU,57.8406,108.3492,-32.4,79,100,2.89,overcast clouds
275,Gaspe,CA,48.8334,-64.4819,33.8,93,90,4.61,snow
276,Huangmei,CN,30.1924,116.025,35.22,72,0,4.63,clear sky
277,Rassvet,RU,46.8333,40.75,20.19,97,100,18.07,snow
278,Karwar,IN,14.8,74.1333,76.64,75,0,5.64,clear sky
279,Goldsboro,US,35.3849,-77.9928,50.0,34,1,9.22,clear sky
280,Kulhudhuffushi,MV,6.6221,73.07,81.18,79,42,12.44,moderate rain
281,Itaituba,BR,-4.2761,-55.9836,93.2,52,20,5.75,few clouds
282,Taywarah,AF,33.35,64.4167,23.58,76,18,5.39,few clouds
283,Torbay,CA,47.6666,-52.7314,36.0,93,90,19.57,moderate rain
284,Zasheyek,RU,67.4066,32.5499,23.0,97,100,5.75,overcast clouds
285,Iskateley,RU,67.6803,53.1512,-16.33,89,0,4.23,clear sky
286,Huntington,US,38.4193,-82.4452,37.99,87,90,8.05,light rain
287,Boa Vista,BR,2.8197,-60.6733,91.4,43,20,9.22,few clouds
288,Khor,RU,47.8861,134.9464,-8.63,89,91,4.72,light snow
289,Narsaq,GL,60.9167,-46.05,22.12,92,100,6.29,overcast clouds
290,Qeshm,IR,26.9581,56.2719,68.0,88,0,4.61,mist
291,Takoradi,GH,4.8845,-1.7554,79.95,80,1,8.48,clear sky
292,Kruisfontein,ZA,-34.0033,24.7314,68.0,79,86,1.99,overcast clouds
293,Nizhniy Odes,RU,63.6445,54.856,-8.81,91,96,4.09,overcast clouds
294,Mount Gambier,AU,-37.8333,140.7667,57.2,94,90,9.22,overcast clouds
295,Tiksi,RU,71.6872,128.8694,-19.73,88,100,7.9,overcast clouds
296,Shebalino,RU,51.2917,85.6772,17.87,82,23,6.29,few clouds
297,Jalingo,NG,8.8833,11.3667,79.05,19,90,3.83,overcast clouds
298,Port Blair,IN,11.6667,92.75,79.2,78,28,14.56,scattered clouds
299,Mao,ES,39.8885,4.2658,51.8,71,0,12.66,clear sky
300,Keroka,KE,-0.7758,34.9453,56.14,99,99,1.45,light rain
301,Zakharovo,RU,54.366,39.2792,-12.68,90,80,2.39,broken clouds
302,Kabompo,ZM,-13.5927,24.2008,66.49,92,100,3.13,light rain
303,Esil,KZ,51.9556,66.4042,4.12,93,0,8.75,clear sky
304,Evensk,RU,61.95,159.2333,-2.09,79,98,20.33,overcast clouds
305,Aswan,EG,24.0934,32.907,57.61,38,0,6.93,clear sky
306,Roma,US,43.2128,-75.4557,34.0,86,90,6.91,light snow
307,Kualakapuas,ID,-3.0091,114.3876,73.4,100,75,1.14,broken clouds
308,Nelidovo,RU,56.2211,32.7774,-4.5,91,0,1.81,clear sky
309,Dunedin,NZ,-45.8742,170.5036,60.01,54,84,8.01,broken clouds
310,Bairiki,KI,1.3292,172.9752,80.6,78,40,10.36,scattered clouds
311,Port Hawkesbury,CA,45.6169,-61.3485,39.99,70,75,18.41,broken clouds
312,Kavieng,PG,-2.5744,150.7967,83.25,73,67,16.55,broken clouds
313,Tessalit,ML,20.1986,1.0114,65.28,23,6,13.42,clear sky
314,Aleksandrov Gay,RU,50.147,48.5704,1.33,92,97,5.75,overcast clouds
315,Chifeng,CN,42.2683,118.9636,-5.19,82,50,3.89,scattered clouds
316,Sabzevar,IR,36.2126,57.6819,45.23,53,46,6.46,scattered clouds
317,Sao Filipe,CV,14.8961,-24.4956,73.08,70,0,7.23,clear sky
318,Huanren,CN,41.2647,125.3667,6.6,91,100,0.47,light snow
319,Svetlogorsk,BY,52.6333,29.7333,-0.47,92,99,7.18,overcast clouds
320,Bereda,ES,43.2686,-7.5406,52.0,100,90,2.3,overcast clouds
321,Lagos,NG,6.5833,3.75,82.4,83,20,4.61,few clouds
322,Kekri,IN,25.9667,75.15,57.6,53,0,8.48,clear sky
323,Belmonte,BR,-15.8631,-38.8828,84.2,70,20,5.75,few clouds
324,San Ramon,US,37.7799,-121.978,75.2,19,1,13.8,clear sky
325,Sinnamary,GF,5.3833,-52.95,78.13,85,98,13.11,overcast clouds
326,Thompson,CA,55.7435,-97.8558,-9.4,77,75,2.3,broken clouds
327,Puerto Leguizamo,CO,-0.1934,-74.7819,91.72,36,9,6.42,clear sky
328,Nassau,US,40.7507,-73.5829,44.6,45,75,14.97,broken clouds
329,Dargaville,NZ,-35.9333,173.8833,66.02,64,71,12.41,broken clouds
330,Puerto Escondido,MX,15.85,-97.0667,80.6,69,40,5.75,light rain
331,Nabire,ID,-3.3667,135.4833,76.06,86,100,3.09,light rain
332,Ternate,ID,0.8,127.4,80.04,80,100,5.75,moderate rain
333,Tsumeb,NA,-19.2333,17.7167,68.0,94,100,1.14,overcast clouds
334,Preobrazheniye,RU,42.9019,133.9064,10.98,87,93,3.53,overcast clouds
335,North Bend,US,43.4065,-124.2243,55.99,94,1,16.11,clear sky
336,San Andres,CO,12.5847,-81.7006,84.2,74,40,9.22,light rain
337,Codrington,AU,-38.2667,141.9667,59.11,76,100,13.27,overcast clouds
338,Elat,IL,29.5581,34.9482,62.6,42,75,9.22,broken clouds
339,Mungwi,ZM,-10.1732,31.3694,63.27,94,100,3.76,overcast clouds
340,Viransehir,TR,37.2353,39.7631,44.35,89,100,11.5,overcast clouds
341,Mumford,GH,5.2618,-0.759,80.06,81,2,10.27,clear sky
342,Nelson Bay,AU,-32.7167,152.15,66.99,88,88,5.75,overcast clouds
343,Weiswampach,LU,50.1372,6.075,37.99,95,100,4.0,overcast clouds
344,Sokoni,TZ,-6.4333,39.55,80.6,83,20,9.22,few clouds
345,Racine,US,42.7495,-88.0751,33.01,80,90,9.22,overcast clouds
346,Batouri,CM,4.4333,14.3667,72.9,32,94,1.41,overcast clouds
347,Jardim,BR,-21.4803,-56.1381,78.13,91,100,3.89,light rain
348,Groningen,NL,53.25,6.75,37.99,100,100,5.75,overcast clouds
349,Bandarbeyla,SO,9.4942,50.8122,74.8,72,2,14.74,clear sky
