City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
267,Kotido,UG,77.05,broken clouds,2.9806,34.1331,Loware Joseph Mukasa's Residence
271,Port Keats,AU,79.56,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
278,Karwar,IN,76.64,clear sky,14.8,74.1333,Netalco Connects
291,Takoradi,GH,79.95,clear sky,4.8845,-1.7554,Raybow International Hotel
297,Jalingo,NG,79.05,overcast clouds,8.8833,11.3667,Debright Motel
298,Port Blair,IN,79.2,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
307,Kualakapuas,ID,73.4,broken clouds,-3.0091,114.3876,Guest House Izonk
317,Sao Filipe,CV,73.08,clear sky,14.8961,-24.4956,Tortuga B&B
324,San Ramon,US,75.2,clear sky,37.7799,-121.978,San Ramon Marriott
325,Sinnamary,GF,78.13,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
331,Nabire,ID,76.06,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
346,Batouri,CM,72.9,overcast clouds,4.4333,14.3667,Hotel Hollywood
347,Jardim,BR,78.13,light rain,-21.4803,-56.1381,Hotel Estância
349,Bandarbeyla,SO,74.8,clear sky,9.4942,50.8122,JABIR HOTEL
